id,categories,wie,obj,element,calc
59,1,999,,46,2
58,1,999,,45,2
57,1,999,,44,2
56,1,999,,43,2
55,1,999,,42,2
54,1,999,,41,2
53,1,999,,40,2
52,1,999,,39,2
51,1,999,,38,2
50,1,999,,37,2
49,1,999,,36,2
48,1,999,,35,2
47,1,999,,34,2
46,1,999,,33,2
45,1,999,,32,2
44,1,999,10,31,4
43,1,95,,30,2
42,1,999,11,29,4
41,1,123,,28,4
40,1,999,12,27,4
39,1,107,,26,2
38,1,999,8,24,6
37,1,999,8,23,6
36,1,999,8,22,6
35,1,999,8,21,6
34,1,999,8,20,6
33,1,999,8,19,6
32,1,999,8,18,2
31,1,110,,17,6
30,1,111,,16,6
29,1,104,,15,6
28,1,116,,14,6
27,1,106,,13,6
26,1,117,,12,6
25,1,,,11,2
24,1,999,13,10,2
23,1,999,,9,2
22,1,999,8,8,3
21,1,999,7,7,3
20,1,999,6,6,2
19,1,999,5,5,2
18,1,999,4,4,2
17,1,999,3,3,2
16,1,999,2,2,2
15,1,999,1,1,2
59,2,999,,46,2
58,2,999,,45,2
57,2,999,,44,2
56,2,999,,43,2
55,2,999,,42,2
54,2,999,,41,2
53,2,999,,40,2
52,2,999,,39,2
51,2,999,,38,2
50,2,999,,37,2
49,2,999,,36,2
48,2,999,,35,2
47,2,999,,34,2
46,2,999,,33,2
45,2,999,,32,2
44,2,999,10,31,4
43,2,95,,30,2
42,2,999,11,29,4
41,2,123,,28,4
40,2,999,12,27,4
39,2,107,,26,2
38,2,999,8,24,6
37,2,999,8,23,6
36,2,999,8,22,6
35,2,999,8,21,6
34,2,999,8,20,6
33,2,999,8,19,6
32,2,999,8,18,2
31,2,110,,17,6
30,2,111,,16,6
29,2,104,,15,6
28,2,116,,14,6
27,2,106,,13,6
26,2,117,,12,6
25,2,,,11,2
24,2,999,13,10,2
23,2,999,,9,2
22,2,999,8,8,3
21,2,999,7,7,3
20,2,999,6,6,2
19,2,999,5,5,2
18,2,999,4,4,2
17,2,999,3,3,2
16,2,999,2,2,2
15,2,999,1,1,2
59,1,999,,46,2
58,2,999,,45,2
57,2,999,,44,2
56,2,999,,43,2
55,2,999,,42,2
54,2,999,,41,2
53,2,999,,40,2
52,2,999,,39,2
51,2,999,,38,2
50,2,999,,37,2
49,2,999,,36,2
48,2,999,,35,2
47,2,999,,34,2
46,2,999,,33,2
45,2,999,,32,2
44,2,999,10,31,4
43,2,95,,30,2
42,2,999,11,29,4
41,2,123,,28,4
40,2,999,12,27,4
39,2,107,,26,2
38,2,999,8,24,6
37,2,999,8,23,6
36,2,999,8,22,6
35,2,999,8,21,6
34,2,999,8,20,6
33,2,999,8,19,6
32,2,999,8,18,2
31,2,110,,17,6
30,2,111,,16,6
29,2,104,,15,6
28,2,116,,14,6
27,2,106,,13,6
26,2,117,,12,6
25,2,,,11,2
24,2,999,13,10,2
23,2,999,,9,2
22,2,999,8,8,3
21,2,999,7,7,3
20,2,999,6,6,2
19,2,999,5,5,2
18,2,999,4,4,2
17,2,999,3,3,2
16,2,999,2,2,2
15,2,999,1,1,2
59,3,999,,46,2
58,3,999,,45,2
57,3,999,,44,2
56,3,999,,43,2
55,3,999,,42,2
54,3,999,,41,2
53,3,999,,40,2
52,3,999,,39,2
51,3,999,,38,2
50,3,999,,37,2
49,3,999,,36,2
48,3,999,,35,2
47,3,999,,34,2
46,3,999,,33,2
45,3,999,,32,2
44,3,999,10,31,4
43,3,95,,30,2
42,3,999,11,29,4
41,3,123,,28,4
40,3,999,12,27,4
39,3,107,,26,2
38,3,999,8,24,6
37,3,999,8,23,6
36,3,999,8,22,6
35,3,999,8,21,6
34,3,999,8,20,6
33,3,999,8,19,6
32,3,999,8,18,2
31,3,110,,17,6
30,3,111,,16,6
29,3,104,,15,6
28,3,116,,14,6
27,3,106,,13,6
26,3,117,,12,6
25,3,,,11,2
24,3,999,13,10,2
23,3,999,,9,2
22,3,999,8,8,3
21,3,999,7,7,3
20,3,999,6,6,2
19,3,999,5,5,2
18,3,999,4,4,2
17,3,999,3,3,2
16,3,999,2,2,2
15,3,999,1,1,2
59,4,999,,46,2
58,4,999,,45,2
57,4,999,,44,2
56,4,999,,43,2
55,4,999,,42,2
54,4,999,,41,2
53,4,999,,40,2
52,4,999,,39,2
51,4,999,,38,2
50,4,999,,37,2
49,4,999,,36,2
48,4,999,,35,2
47,4,999,,34,2
46,4,999,,33,2
45,4,999,,32,2
44,4,999,10,31,4
43,4,95,,30,2
42,4,999,11,29,4
41,4,123,,28,4
40,4,999,12,27,4
39,4,107,,26,2
38,4,999,8,24,6
37,4,999,8,23,6
36,4,999,8,22,6
35,4,999,8,21,6
34,4,999,8,20,6
33,4,999,8,19,6
32,4,999,8,18,2
31,4,110,,17,6
30,4,111,,16,6
29,4,104,,15,6
28,4,116,,14,6
27,4,106,,13,6
26,4,117,,12,6
